2025-10-18 05:52:31 http://58.19.133.216:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:33 http://101.66.195.101:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:37 http://112.99.193.34:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:40 http://183.131.246.250:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:48 http://101.66.199.152:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:49 http://101.66.199.67:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:53:14 http://113.195.162.70:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:54:22 可用频道：34 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：51.35% - CCTV15: 0.0002 MB/s
2025-10-18 05:54:23 可用频道：35 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：51.65% - 安徽卫视: 0.0001 MB/s
2025-10-18 05:54:24 可用频道：36 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：51.95% - 重庆卫视: 0.0001 MB/s
2025-10-18 05:54:25 可用频道：37 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：52.25% - 四川卫视: 0.0001 MB/s
2025-10-18 05:54:25 可用频道：38 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：52.55% - 江西卫视: 0.0001 MB/s
2025-10-18 05:54:26 可用频道：39 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：52.85% - 山东卫视: 0.0001 MB/s
2025-10-18 05:54:26 可用频道：40 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：53.15% - 广东卫视: 0.0001 MB/s
2025-10-18 05:54:26 可用频道：41 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：53.45% - 黑龙江卫视: 0.0001 MB/s
2025-10-18 05:54:27 可用频道：42 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：53.75% - 贵州卫视: 0.0001 MB/s
2025-10-18 05:54:27 可用频道：43 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：54.05% - 东南卫视: 0.0001 MB/s
2025-10-18 05:54:27 可用频道：44 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：54.35% - 吉林卫视: 0.0001 MB/s
2025-10-18 05:54:28 可用频道：45 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：54.65% - 河南卫视: 0.0001 MB/s
2025-10-18 05:54:29 可用频道：45 个 , 不可用频道：138 个 , 总频道：333 个 , 总进度：54.95%
2025-10-18 05:54:29 可用频道：46 个 , 不可用频道：138 个 , 总频道：333 个 , 总进度：55.26% - 湖北卫视: 0.0001 MB/s
2025-10-18 05:54:29 可用频道：46 个 , 不可用频道：139 个 , 总频道：333 个 , 总进度：55.56%
2025-10-18 05:54:30 可用频道：47 个 , 不可用频道：139 个 , 总频道：333 个 , 总进度：55.86% - 云南卫视: 0.0002 MB/s
2025-10-18 05:54:30 可用频道：48 个 , 不可用频道：139 个 , 总频道：333 个 , 总进度：56.16% - 广西卫视: 0.0001 MB/s
2025-10-18 05:54:30 可用频道：49 个 , 不可用频道：139 个 , 总频道：333 个 , 总进度：56.46% - 河北卫视: 0.0002 MB/s
2025-10-18 05:54:30 可用频道：50 个 , 不可用频道：139 个 , 总频道：333 个 , 总进度：56.76% - 山西卫视: 0.0001 MB/s
2025-10-18 05:54:30 可用频道：51 个 , 不可用频道：139 个 , 总频道：333 个 , 总进度：57.06% - 金鹰卡通: 0.0002 MB/s
2025-10-18 05:54:31 可用频道：52 个 , 不可用频道：139 个 , 总频道：333 个 , 总进度：57.36% - 陕西卫视: 0.0001 MB/s
2025-10-18 05:54:31 可用频道：53 个 , 不可用频道：139 个 , 总频道：333 个 , 总进度：57.66% - CCTV1: 0.0002 MB/s
2025-10-18 05:54:31 可用频道：54 个 , 不可用频道：139 个 , 总频道：333 个 , 总进度：57.96% - 浙江新闻: 0.0002 MB/s
2025-10-18 05:54:32 可用频道：55 个 , 不可用频道：139 个 , 总频道：333 个 , 总进度：58.26% - 杭州影视: 0.0002 MB/s
2025-10-18 05:54:32 可用频道：56 个 , 不可用频道：139 个 , 总频道：333 个 , 总进度：58.56% - CCTV2: 0.0002 MB/s
2025-10-18 05:54:32 可用频道：57 个 , 不可用频道：139 个 , 总频道：333 个 , 总进度：58.86% - CCTV4: 0.0002 MB/s
